Imported from ls-asymmetric-typeE-9x11L130-sample00.h5 hdf Network
  2730.222137 3315.944035 2971.445557 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  154 total number of segments
name	type	from	to	diam		flow		HD
122 5 212 221 18.898821 20.4382776507 0.310944
123 5 219 43 23.811029 72.2234364302 0.365113
124 5 221 147 18.898823 20.4382776507 0.310944
125 5 240 175 31.201290 72.2234364301 0.365113
126 5 242 294 31.201277 72.2234364302 0.365113
127 5 265 195 15.000000 51.7851587794 0.386492
128 5 270 290 31.201281 72.2234364301 0.365113
129 5 280 340 31.201273 72.2234364302 0.365113
130 5 290 75 31.201283 72.2234364301 0.365113
131 5 294 270 31.201279 72.2234364301 0.365113
132 5 295 350 23.811026 72.2234364302 0.365113
133 5 332 193 15.000000 32.2850511441 0.364544
134 5 340 242 31.201275 72.2234364302 0.365113
135 5 350 219 23.811028 72.2234364302 0.365113
136 5 363 212 18.898819 20.4382776507 0.310944
137 5 372 397 15.000001 20.4382776507 0.310944
138 5 389 363 15.000003 20.4382776507 0.310944
139 5 394 396 15.000000 38.6262498556 0.383698
140 5 396 193 15.000000 38.6262498556 0.383698
141 5 397 389 15.000002 20.4382776507 0.310944
142 5 428 372 15.000000 20.4382776507 0.310944
143 5 429 428 15.000000 20.4382776507 0.310944
144 5 50 394 11.000000 38.6262498556 0.383698
145 5 443 429 11.000000 20.4382776507 0.310944
146 5 444 443 11.000000 20.4382776507 0.310944
147 5 445 444 11.000000 20.4382776507 0.310944
148 5 446 445 11.000000 20.4382776507 0.310944
149 5 447 446 11.000000 20.4382776507 0.310944
150 5 133 447 11.000000 20.4382776507 0.310944
151 5 448 332 11.000000 32.2850511441 0.364544
152 5 449 448 11.000000 32.2850511441 0.364544
153 5 133 449 11.000000 32.2850511441 0.364544
154 5 50 265 11.000000 51.7851587794 0.386492
  449 total number of nodes
name x y z
1 1000.000000 1300.222137 1262.289108
2 2040.000000 1900.666443 1686.867310
3 1910.000000 1825.610840 1474.578217
4 1910.000000 1975.721924 1262.289108
5 1780.000000 1600.444275 1474.578217
6 1260.000000 1300.222137 1262.289108
7 1390.000000 1225.166611 1050.000000
8 1390.000000 1375.277649 1474.578217
9 1780.000000 1450.333221 1686.867310
10 1520.000000 1450.333221 1686.867310
11 1650.000000 1225.166611 1686.867310
12 1780.000000 2200.888550 1262.289108
13 1975.000000 1112.583305 1368.433655
14 1910.000000 2275.943970 1474.578217
15 1650.000000 1225.166611 1050.000000
16 1260.000000 1150.111069 2111.445557
17 1780.000000 1450.333221 1050.000000
18 1390.000000 1225.166611 1686.867310
19 1130.000000 1375.277649 2111.445557
20 1260.000000 1300.222137 1899.156433
21 1650.000000 1675.499817 1050.000000
22 1390.000000 1675.499817 1050.000000
23 1000.000000 1750.555298 1899.156433
24 1910.000000 2125.833008 1686.867310
25 1780.000000 1900.666443 1686.867310
26 1650.000000 1375.277649 1474.578217
27 1390.000000 1525.388733 1899.156433
28 1260.000000 1750.555298 1899.156433
29 870.000000 2275.943970 1474.578217
30 1000.000000 1300.222137 1899.156433
31 1000.000000 1450.333221 1686.867310
32 1520.000000 1300.222137 1899.156433
33 1650.000000 1675.499817 1686.867310
34 1390.000000 2200.888550 1580.722778
35 1000.000000 1600.444275 1474.578217
36 1260.000000 1900.666443 1686.867310
37 1130.000000 1525.388733 1899.156433
38 1520.000000 1900.666443 1686.867310
39 1260.000000 1750.555298 1262.289108
40 1780.000000 1150.111069 1474.578217
41 1260.000000 1600.444275 1474.578217
42 1780.000000 1750.555298 1899.156433
43 1520.000000 1750.555298 1899.156433
44 1780.000000 1300.222137 1262.289108
45 1780.000000 1300.222137 1899.156433
46 1520.000000 1750.555298 1262.289108
47 1910.000000 1225.166611 1686.867310
48 1650.000000 1975.721924 1899.156433
49 1390.000000 1075.055534 1262.289108
50 1650.000000 1825.610840 2111.445557
51 870.000000 1900.666443 1368.433655
52 1390.000000 1975.721924 1899.156433
53 1130.000000 1825.610840 2111.445557
54 1130.000000 1975.721924 1899.156433
55 1130.000000 1525.388733 1262.289108
56 1650.000000 1075.055534 1262.289108
57 1130.000000 2125.833008 1368.433655
58 1390.000000 1525.388733 1262.289108
59 1520.000000 1150.111069 2111.445557
60 1130.000000 1375.277649 1474.578217
61 1260.000000 1150.111069 1474.578217
62 1910.000000 1075.055534 1899.156433
63 1065.000000 2238.416382 1368.433655
64 1000.000000 1600.444275 2111.445557
65 1650.000000 1825.610840 1474.578217
66 2105.000000 1262.694366 1156.144554
67 1520.000000 2200.888550 1899.156433
68 1130.000000 1675.499817 1686.867310
69 1650.000000 1525.388733 1899.156433
70 1975.000000 1788.083130 2005.301025
71 2105.000000 1337.749908 1368.433655
72 1390.000000 1825.610840 2111.445557
73 1975.000000 1037.527767 1793.011902
74 1455.000000 1938.194092 2111.445557
75 1845.000000 1187.638824 1899.156433
76 870.000000 2050.777466 2111.445557
77 1780.000000 2050.777466 1474.578217
78 2040.000000 2050.777466 1474.578217
79 1065.000000 1938.194092 1474.578217
80 2040.000000 1150.111069 1156.144554
81 1130.000000 1825.610840 1474.578217
82 1455.000000 1788.083130 2005.301025
83 1390.000000 1825.610840 1474.578217
84 2040.000000 1300.222137 1899.156433
85 1065.000000 2238.416382 1686.867310
86 935.000000 2313.471802 1262.289108
87 1390.000000 1975.721924 1262.289108
88 2105.000000 1562.916504 1368.433655
89 2040.000000 1975.721924 1899.156433
90 2170.000000 1900.666443 1686.867310
91 935.000000 1262.694366 1156.144554
92 870.000000 1225.166611 1050.000000
93 1975.000000 1863.138611 1580.722778
94 1910.000000 1900.666443 1368.433655
95 1845.000000 1713.027588 1474.578217
96 1130.000000 1300.222137 1262.289108
97 1325.000000 1262.694366 1156.144554
