Imported from ssels-default-typeE-17x1L130-sample00.h5 hdf Network
  3855.333221 4881.332794 1900.666443 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  189 total number of segments
name	type	from	to	diam		flow		HD
122 5 76 134 9.575401 0.4592663495 0.460264
123 5 135 122 5.000000 0.0980106885 0.371752
124 5 117 136 12.995820 2.0055989106 0.363269
125 5 137 169 5.000000 0.1898763480 0.374369
126 5 77 138 7.600000 0.3496411420 0.305577
127 5 139 59 5.000000 0.0612464274 0.437304
128 5 140 118 5.000000 0.0463517548 0.338654
129 5 146 141 7.600000 0.2638112597 0.408159
130 5 142 35 5.000000 0.3586171002 0.331755
131 5 134 144 7.600001 0.2638112597 0.408159
132 5 171 146 7.600000 0.2638112597 0.408159
133 5 148 137 5.000000 0.1898763480 0.374369
134 5 149 50 7.211248 0.2418068446 0.493799
135 5 52 150 7.600000 0.1522876682 0.506459
136 5 151 47 9.085605 0.6954944524 0.428709
137 5 92 152 7.600000 0.3626246618 0.418252
138 5 153 155 6.299605 0.2312118585 0.313783
139 5 102 154 7.600000 0.2869549735 0.389960
140 5 155 126 6.299605 0.2312118585 0.313783
141 5 156 149 6.299605 0.1075981822 0.394807
142 5 157 149 5.000000 0.1342086624 0.573160
143 5 160 151 8.549881 0.5056181043 0.449116
144 5 161 37 5.000000 0.2561540974 0.349442
145 5 114 162 7.600000 0.4316417449 0.406924
146 5 163 72 7.937006 0.3398175331 0.458598
147 5 164 88 5.000000 0.7495403222 0.434669
148 5 60 165 7.600000 0.6585836536 0.395068
149 5 166 72 5.000000 0.1658005712 0.429680
150 5 45 168 7.600000 0.5194949055 0.380634
151 5 169 151 5.000000 0.1898763480 0.374369
152 5 175 170 9.575400 0.7270882306 0.384367
153 5 54 171 7.600000 0.2638112597 0.408159
154 5 172 65 5.000000 0.2686523762 0.380013
155 5 102 173 9.575400 0.6104865146 0.281570
156 5 86 174 7.600000 0.6104865146 0.281570
157 5 113 175 9.575400 0.7270882306 0.384367
158 5 178 153 5.000000 0.2312118585 0.313783
159 5 183 93 5.000000 0.2508425293 0.381299
160 5 207 31 5.000000 0.3904433447 0.349514
161 5 141 166 5.000000 0.1658005712 0.429680
162 5 70 96 5.000000 0.1522876682 0.506459
163 5 165 90 5.000000 0.3244045576 0.431808
164 5 162 112 5.000000 0.1882711133 0.354833
165 5 100 207 5.000000 0.3904433447 0.349514
166 5 106 178 5.000000 0.2312118585 0.313783
167 5 55 128 5.000000 0.2181565935 0.518976
168 5 121 148 5.000000 0.1898763480 0.374369
169 5 106 96 5.000000 0.1730956209 0.572251
170 5 48 157 5.000000 0.1342086624 0.573160
171 5 15 164 5.000000 0.3869156604 0.450056
172 5 168 172 5.000000 0.2686523762 0.380013
173 5 168 183 5.000000 0.2508425293 0.381299
174 5 152 164 5.000000 0.3626246618 0.418252
175 5 165 16 5.000000 0.3341790960 0.359402
176 5 42 120 5.000000 0.4112163988 0.288474
177 5 138 128 5.000000 0.0934870447 0.185380
178 5 99 27 5.000000 0.2075933251 0.393709
179 5 162 130 5.000000 0.2433706315 0.447221
180 5 154 7 5.000000 0.2869549735 0.389960
181 5 15 62 5.000000 0.3586171002 0.331755
182 5 108 64 5.000000 0.6335841708 0.286300
183 5 121 129 5.000000 0.0463517548 0.338654
184 5 48 80 5.000000 0.0612464274 0.437304
185 5 42 51 5.000000 0.4092563828 0.300504
186 5 138 161 5.000000 0.2561540974 0.349442
187 5 174 7 5.000000 0.0961365139 0.080224
188 5 141 135 5.000000 0.0980106885 0.371752
189 5 174 19 5.000000 0.5143500007 0.319199
  215 total number of nodes
name x y z
1 740.000000 1450.333221 1050.000000
2 3080.000000 2801.332886 1050.000000
3 1000.000000 1900.666443 1050.000000
4 2235.000000 2013.249695 1050.000000
5 2040.000000 2801.332886 1050.000000
6 2820.000000 2350.999634 1050.000000
7 1910.000000 1675.499817 1050.000000
8 2300.000000 2350.999634 1050.000000
9 675.000000 2688.749512 1050.000000
10 2430.000000 1675.499817 1050.000000
11 1260.000000 2350.999634 1050.000000
12 1520.000000 1900.666443 1050.000000
13 1780.000000 1450.333221 1050.000000
14 1975.000000 2463.582886 1050.000000
15 1780.000000 2125.833008 1050.000000
16 2105.000000 2913.916138 1050.000000
17 1910.000000 2125.833008 1050.000000
18 2170.000000 1675.499817 1050.000000
19 1975.000000 1562.916504 1050.000000
20 870.000000 1675.499817 1050.000000
21 1910.000000 2576.166260 1050.000000
22 2170.000000 2576.166260 1050.000000
23 2950.000000 2576.166260 1050.000000
24 1650.000000 2576.166260 1050.000000
25 2560.000000 2350.999634 1050.000000
26 1130.000000 2576.166260 1050.000000
27 2430.000000 1900.666443 1050.000000
28 1130.000000 2125.833008 1050.000000
29 1260.000000 1900.666443 1050.000000
30 1650.000000 1675.499817 1050.000000
31 1780.000000 2801.332886 1050.000000
32 2040.000000 1450.333221 1050.000000
33 1845.000000 2013.249695 1050.000000
34 1650.000000 3026.499390 1050.000000
35 1650.000000 2125.833008 1050.000000
36 2690.000000 1675.499817 1050.000000
37 1520.000000 2350.999634 1050.000000
38 740.000000 2801.332886 1050.000000
39 2040.000000 1900.666443 1050.000000
40 1260.000000 2801.332886 1050.000000
41 1520.000000 2801.332886 1050.000000
42 1325.000000 2688.749512 1050.000000
43 2170.000000 2125.833008 1050.000000
44 1910.000000 3026.499390 1050.000000
45 2300.000000 1900.666443 1050.000000
46 2755.000000 1788.083130 1050.000000
47 2170.000000 3026.499390 1050.000000
48 2755.000000 2688.749512 1050.000000
49 1130.000000 3026.499390 1050.000000
50 2755.000000 2913.916138 1050.000000
51 1455.000000 2688.749512 1050.000000
52 2625.000000 2013.249695 1050.000000
53 870.000000 3026.499390 1050.000000
