Imported from s-asymmetric-typeE-17x21L130-sample00.h5 hdf Network
  4590.444275 5744.471436 4942.891113 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  352 total number of segments
name	type	from	to	diam		flow		HD
122 5 227 668 60.923317 90.8900630167 0.372941
123 5 244 685 52.551079 34.7624351166 0.362311
124 5 249 690 53.745804 90.8900630166 0.372941
125 5 253 694 52.551064 34.7624351167 0.362311
126 5 261 702 52.551071 34.7624351165 0.362311
127 5 327 768 42.030670 34.7624351166 0.362311
128 5 349 790 42.030663 34.7624351166 0.362311
129 5 353 794 42.030655 34.7624351166 0.362311
130 5 354 795 69.855316 90.8900630171 0.372941
131 5 357 798 69.855347 90.8900630168 0.372941
132 5 359 800 69.855331 90.8900630169 0.372941
133 5 384 409 18.898817 33.9381006864 0.350800
134 5 406 847 34.341457 56.9519623300 0.386134
135 5 409 2813 18.898819 33.9381006864 0.350800
136 5 91 444 143.142868 125.6524981237 0.370000
137 5 93 445 27.214363 125.6524981330 0.370000
138 5 94 446 21.600037 63.2788517221 0.374908
139 5 95 447 21.600060 62.3736464109 0.365021
140 5 448 96 143.142792 125.6524981331 0.370000
141 5 449 97 104.796890 34.7624351038 0.362311
142 5 450 98 121.238358 90.8900630165 0.372941
143 5 99 451 21.600052 62.3736464109 0.365021
144 5 100 452 21.600044 62.3736464109 0.365021
145 5 453 101 104.796272 34.7624351105 0.362311
146 5 102 454 21.600029 63.2788517221 0.374908
147 5 104 456 21.600021 63.2788517221 0.374908
148 5 457 105 104.796829 34.7624351022 0.362311
149 5 458 106 104.796089 34.7624351114 0.362311
150 5 459 107 104.796768 34.7624351004 0.362311
151 5 460 108 121.238297 90.8900630183 0.372941
152 5 461 109 104.796028 34.7624351134 0.362311
153 5 462 110 121.238235 90.8900630198 0.372941
154 5 463 111 104.796707 34.7624351028 0.362311
155 5 464 112 104.796646 34.7624351061 0.362311
156 5 465 113 52.551174 34.7624351157 0.362311
157 5 114 466 21.600014 63.2788517221 0.374908
158 5 115 467 21.600006 63.2788517221 0.374908
159 5 468 116 104.796333 34.7624351123 0.362311
160 5 117 469 21.600037 62.3736464109 0.365021
161 5 118 470 21.600029 62.3736464109 0.365021
162 5 472 120 121.238174 90.8900630239 0.372941
163 5 473 121 121.238113 90.8900630229 0.372941
164 5 474 122 104.796211 34.7624351132 0.362311
165 5 475 123 85.161667 90.8900630162 0.372941
166 5 477 125 121.238052 90.8900630182 0.372941
167 5 126 478 21.600021 62.3736464109 0.365021
168 5 479 127 98.481659 34.7624351160 0.362311
169 5 128 480 21.600014 62.3736464109 0.365021
170 5 481 129 104.796585 34.7624351073 0.362311
171 5 482 130 69.855385 90.8900630171 0.372941
172 5 483 131 104.796524 34.7624351084 0.362311
173 5 132 484 21.600000 63.2788517221 0.374908
174 5 486 134 104.796364 34.7624351104 0.362311
175 5 487 135 85.161606 90.8900630170 0.372941
176 5 488 136 121.237869 90.8900630160 0.372941
177 5 489 137 69.855415 90.8900630168 0.372941
178 5 138 490 21.600006 62.3736464109 0.365021
179 5 491 139 104.796425 34.7624351137 0.362311
180 5 140 492 21.600000 62.3736464109 0.365021
181 5 494 142 52.551128 34.7624351161 0.362311
182 5 496 144 52.551159 34.7624351159 0.362311
183 5 497 145 121.237991 90.8900630163 0.372941
184 5 498 146 104.796394 34.7624351082 0.362311
185 5 500 148 121.237930 90.8900630204 0.372941
186 5 501 149 104.796150 34.7624351101 0.362311
187 5 502 150 104.796486 34.7624351111 0.362311
188 5 503 151 104.796455 34.7624351142 0.362311
189 5 507 155 106.211044 90.8900630166 0.372941
190 5 509 157 52.551113 34.7624351161 0.362311
191 5 511 159 85.161636 90.8900630162 0.372941
192 5 513 207 69.855293 90.8900630164 0.372941
193 5 531 2 27.214369 125.6524981330 0.370000
194 5 1 532 143.142838 125.6524981375 0.370000
195 5 2 533 27.214367 125.6524981330 0.370000
196 5 3 534 21.600040 63.2788517221 0.374908
197 5 3 535 21.600063 62.3736464109 0.365021
198 5 536 1 143.142822 125.6524981408 0.370000
199 5 537 6 104.796921 34.7624351053 0.362311
200 5 538 6 121.238388 90.8900630167 0.372941
201 5 5 539 21.600056 62.3736464109 0.365021
202 5 9 540 21.600048 62.3736464109 0.365021
203 5 541 26 104.796303 34.7624351122 0.362311
204 5 4 542 21.600033 63.2788517221 0.374908
205 5 12 544 21.600025 63.2788517221 0.374908
206 5 545 7 104.796860 34.7624351039 0.362311
207 5 546 59 104.796120 34.7624351088 0.362311
208 5 547 15 104.796799 34.7624351012 0.362311
209 5 548 8 121.238327 90.8900630171 0.372941
210 5 549 16 104.796059 34.7624351119 0.362311
211 5 550 18 121.238266 90.8900630204 0.372941
212 5 551 17 104.796738 34.7624351030 0.362311
213 5 552 21 104.796677 34.7624351046 0.362311
214 5 553 37 52.551182 34.7624351157 0.362311
215 5 14 554 21.600018 63.2788517221 0.374908
216 5 24 555 21.600010 63.2788517221 0.374908
217 5 556 44 104.796349 34.7624351098 0.362311
218 5 10 557 21.600040 62.3736464109 0.365021
219 5 27 558 21.600033 62.3736464109 0.365021
220 5 560 20 121.238205 90.8900630216 0.372941
221 5 561 30 121.238144 90.8900630223 0.372941
222 5 562 11 104.796242 34.7624351113 0.362311
223 5 563 65 85.161682 90.8900630154 0.372941
224 5 565 31 121.238083 90.8900630249 0.372941
225 5 28 566 21.600025 62.3736464109 0.365021
226 5 567 19 98.481682 34.7624351155 0.362311
227 5 36 568 21.600018 62.3736464109 0.365021
228 5 569 22 104.796616 34.7624351078 0.362311
229 5 570 47 69.855400 90.8900630171 0.372941
230 5 571 39 104.796555 34.7624351080 0.362311
231 5 25 572 21.600002 63.2788517221 0.374908
232 5 574 56 104.796379 34.7624351088 0.362311
233 5 575 69 85.161621 90.8900630160 0.372941
234 5 576 58 121.237900 90.8900630233 0.372941
235 5 577 45 69.855431 90.8900630169 0.372941
